batch,rater,task_id,simulation_id,trial,voice_prosody_quality,audio_environment_realism,turn_taking_naturalness,backchannel_naturalness,interruption_behavior,behavioral_plausibility,voice_prosody_quality_notes,audio_environment_realism_notes,turn_taking_naturalness_notes,backchannel_naturalness_notes,interruption_behavior_notes,behavioral_plausibility_notes,free_text_comments,completed,created_at
user_realism_eval_v2,Michael,[service_issue]airplane_mode_on|break_apn_settings|contract_end_suspension|lock_sim_card_pin|unseat_sim_card[PERSONA:Easy],aa8badec-d01c-4983-a9f3-78e2d76e36ca,0,2,4,3,3,3,3,Awkward pacing. Slightly too much enunciation and intonation,,,,,,"Slightly robotic pacing and diction, but good call",TRUE,2026-03-26T19:27:39.258Z
user_realism_eval_v2,Michael,[service_issue]airplane_mode_on|break_apn_settings|contract_end_suspension|unseat_sim_card[PERSONA:Easy],d68c6958-b7de-4182-9ca1-78bba93ba93a,0,3,4,3,3,3,3,,,,,,,"Questions still sound a little awkward, but overall more natural",TRUE,2026-03-26T19:28:20.537Z
user_realism_eval_v2,Michael,[service_issue]airplane_mode_on|break_apn_settings|lock_sim_card_pin|unseat_sim_card[PERSONA:None],325d2b04-7b37-402e-a84e-b4a3f146295a,0,3,4,3,3,3,2,,,,,,User seemed like they were continuing the conversation before there was any response from the agent.,,TRUE,2026-03-26T19:28:59.571Z
user_realism_eval_v2,Michael,[service_issue]airplane_mode_on|break_apn_settings|overdue_bill_suspension[PERSONA:None],627ad75c-ccde-4862-9342-bd1ed38647d8,0,4,4,3,3,3,3,,,,,,,"Not in English, so this one was a little harder to determine, but based on tone, pacing, rhythm, it felt like a natural phone call and overall environment",TRUE,2026-03-26T19:29:38.698Z
user_realism_eval_v2,Michael,[service_issue]airplane_mode_on|contract_end_suspension|lock_sim_card_pin|unseat_sim_card[PERSONA:Hard],f51fdb09-6fab-44a5-957f-a2f0d3539edb,0,2,4,3,3,3,3,"User sounds like it's reading, overacting",,,,,,,TRUE,2026-03-26T19:31:36.689Z
user_realism_eval_v2,Michael,[service_issue]airplane_mode_on|lock_sim_card_pin|overdue_bill_suspension[PERSONA:Easy],dfdfad8b-8b9a-4a81-9fb5-644e7bad32d6,0,2,4,3,3,3,3,Reading aloud/acting. Intonation is getting better/more natural in terms of questions. User continues conversation before getting a response from agent,,,,,,Still too consistent and robotic in terms of enunciation,TRUE,2026-03-26T19:36:36.372Z
user_realism_eval_v2,Michael,[service_issue]break_apn_settings|contract_end_suspension|lock_sim_card_pin|unseat_sim_card[PERSONA:Hard],874c139c-a8d8-4627-a990-5fed549ff7c5,0,3,4,3,3,2,3,,,,,"There were a fair number of interruptions in this one. User would start ""doing"" something before agent finished describing what to do or how to do it",,,TRUE,2026-03-26T19:45:43.615Z
user_realism_eval_v2,Michael,[service_issue]break_apn_settings|lock_sim_card_pin[PERSONA:None],30a95313-9c86-4479-a38d-d1ceefa6e9b5,0,2,4,3,3,3,3,Back to a bit too much intonation/inflection. Sounds like an answering machine,,,,,,,TRUE,2026-03-26T19:49:54.020Z
user_realism_eval_v2,Michael,[service_issue]break_apn_settings|overdue_bill_suspension|unseat_sim_card[PERSONA:Hard],3bda05df-897b-4cc7-8faf-05eac5f401bb,0,3,3,3,4,3,3,"Stilted, feels scripted and poorly acted. ",,,,,,"The acting still feels a little awkward in some sections, but intonation and inflection are getting better. Sirens cut in and out unnaturally",TRUE,2026-03-26T19:56:16.503Z
user_realism_eval_v2,Michael,[service_issue]contract_end_suspension|lock_sim_card_pin[PERSONA:Hard],83d5f49d-85d8-4968-b3c4-529f2284df68,0,3,2,2,3,2,3,,Sirens cutting in and out too often,"Too many interruptions, user starting to ""work"" on instructions before they are fully explained",,Some awkward interruptions/overtalking and delays,,,TRUE,2026-03-26T20:01:42.667Z
user_realism_eval_v2,Michael,0,fcc4762d-f560-420f-b085-b40fe1766104,0,3,4,3,3,4,4,,,,,,,"Very good call. User felt very natural, interrupted/corrected agent at appropriate times. Really good intonation, pacing",TRUE,2026-03-26T20:07:52.002Z
user_realism_eval_v2,Michael,1,b45994f2-de65-4d7a-87c8-e8f256788aec,0,3,4,3,4,2,3,,,,,A couple too-soon status checks by user and interruptions by agent.,,"Some suspect interruptions and cut-offs, but overall a good call",TRUE,2026-03-26T20:15:06.244Z
user_realism_eval_v2,Michael,4,d4842acb-6e3b-4de2-9390-6cec24464af5,0,3,4,3,3,3,3,,,,,,,"User was a little bit demanding, impolite, short with agent for no apparent reason",TRUE,2026-03-26T20:19:34.876Z
user_realism_eval_v2,Michael,15,bcc2b71d-bd63-4178-be1f-17190add421f,0,3,3,3,3,3,3,,,,,,,,TRUE,2026-03-26T20:22:16.292Z
user_realism_eval_v2,Michael,18,57cce2c0-c43c-4928-9580-bba0d709e4b3,0,4,4,3,3,2,3,,,,,User interrupted agent unnecessarily and seemed to correct agent when there was no mistake made.,,,TRUE,2026-03-26T20:25:44.430Z
user_realism_eval_v2,Michael,20,a4c694a1-cfd6-4d55-ae9a-bf34199ca6ba,0,4,4,3,3,3,3,,,,,,,"User was terse and a bit impolite, not speaking in full sentences. ",TRUE,2026-03-26T20:34:19.831Z
user_realism_eval_v2,Michael,21,909da25c-a72d-49e4-9fcd-020f4836ad3f,0,2,4,4,3,3,3,User spoke with too much inflection and unnatural intonation,,,,,,,TRUE,2026-03-26T20:37:00.976Z
user_realism_eval_v2,Michael,21,4435bd5c-16cf-4632-bed7-ade4d10c4e1c,0,2,4,4,3,3,3,Slightly too much intonation,,,,,,"User seemed terse and impatient, but had an energetic tone in her voice which didn't match ",TRUE,2026-03-26T20:40:54.439Z
user_realism_eval_v2,Michael,21,6132db8b-40e9-4b53-a729-ce0b1520c023,0,2,4,3,3,2,2,User had kind of a forced intonation and unnatural variation in their speech,,,,User interrupts and cuts off agent,"User is unnecessarily/unnaturally terse and impolite. Doesn't ever start sentences with ""I"" ",,TRUE,2026-03-26T20:47:06.423Z
user_realism_eval_v2,Michael,22,70ececfe-a6a8-4344-9d4f-fb7fb66a41c3,0,2,4,2,3,3,3,User sounds robotic/mechanical.,,"Some preemptive interruptions, user talks over agent and has non-directed conversations in an unnatural way",,,,,TRUE,2026-03-26T20:51:31.039Z
user_realism_eval_v2,Michael,27,66bf9684-5a38-423b-a662-9c98153bf84a,0,3,4,3,3,4,4,,,,,,,,TRUE,2026-03-26T21:05:42.779Z
user_realism_eval_v2,Michael,27,d1e08c17-e326-4a34-a4bc-81c2c9652e0b,0,3,4,3,4,4,4,,,,,,,,TRUE,2026-03-26T21:09:37.503Z
user_realism_eval_v2,Michael,29,e78815f8-3cba-4bb0-8099-d31a37d8ae61,0,2,3,2,4,3,4,This one felt slightly robotic. Sounded like the voice changed mid-call,,Agent and user talk over each other for a while mid-call,,,,,TRUE,2026-03-26T21:12:40.764Z
user_realism_eval_v2,Michael,30,09c27ce9-dc18-43e7-8155-dfcee67a0bf1,0,3,4,3,4,2,1,,,,,Still some overtalk/interruptions. User interrupted and corrected agent before it needed to,User starting making additional requests before agent was able to verify them,,TRUE,2026-03-26T21:21:24.314Z
user_realism_eval_v2,Michael,33,17d05613-6d3a-4391-b8f6-578a7209fbd4,0,3,2,3,4,3,1,,"Unnatural jackhammer sounds, and sirens cutting in and out",,,,"Again, user starting making additional requests before agent was able to verify them",,TRUE,2026-03-26T21:26:24.477Z
user_realism_eval_v2,Michael,36,c39b055f-34ce-410c-9d11-49c4ad189435,0,4,4,4,3,3,4,,,,,,,,TRUE,2026-03-26T21:31:58.681Z
user_realism_eval_v2,Michael,37,91e382db-bef8-4c18-b803-e3bf7122c337,0,3,4,4,4,3,4,,,,,,,,TRUE,2026-03-26T21:35:38.894Z
user_realism_eval_v2,Michael,39,23104eb2-5822-4719-8544-c69ec69e7200,0,2,4,3,4,3,4,Jokes are awkward and forced,,,,Some overtalking by the user,,,TRUE,2026-03-26T21:43:31.568Z
user_realism_eval_v2,Michael,43,7482c656-508b-4052-9cf4-9f5d9ca5c1c4,0,3,4,4,4,4,4,,,,,,,"Overall, a very good call. User is still a little mechanical, but behavior seemed very natural",TRUE,2026-03-26T21:49:03.356Z
user_realism_eval_v2,Michael,44,16fde45d-42f3-47b6-a64b-6a8f2c68aa2f,0,2,4,3,3,2,3,"User is robotic, more unemotional and monotone than recent calls. ",,,,Agent and user talk over and interrupt eachother,,,TRUE,2026-03-26T21:56:17.174Z
user_realism_eval_v2,Michael,44,83325c67-cff9-4306-bb99-dcfc7faddb77,0,2,4,2,3,3,2,"User sounded unnaturally sluggish in terms of pace, but still sharp and enunciated",,"Conversation was unnatural, didn't feel like human flow back and forth",,,"Similar to my other comment, this didn't feel like a natural, typical conversation. User seemed to become frustrated quickly, but didn't change tone or pace or volume to reflect that",,TRUE,2026-03-26T22:32:57.043Z
user_realism_eval_v2,Michael,46,ca83c2ee-6185-4c9c-9f97-64edcaa36676,0,2,4,3,3,3,4,Enunciation was too precise and intonation was too varied to sound realistic. Sounded acted,,,,,,,TRUE,2026-03-26T22:36:31.626Z
user_realism_eval_v2,Michael,47,281180ff-87f0-4f17-850f-4b17d4732c22,0,2,1,3,3,1,3,"User was unnaturally expressive, considering they were meant to be frustrated and impatient","There was a tv on in the background, as if the user was in a waiting room or something, but also a dog barking loudly",,,"User interrupted agent often, before agent was able to finish their statement, question, or instructions",,,TRUE,2026-03-26T22:52:19.597Z
user_realism_eval_v2,Michael,48,45729ee1-5d3c-4781-9c37-d86bb1c85327,0,2,4,3,4,4,3,"Still too much variation in tone, and inappropriate emphasis, awkward pauses",,,,,,,TRUE,2026-03-27T15:59:03.017Z
user_realism_eval_v2,Michael,52,362abfcd-7226-4b9a-be53-ad0064aa3295,0,3,4,3,4,4,4,,"User audio missing, no background noise",,,,,"Great call. Agent sounds realistic, with reasonable variation in tone and appropriate emphasis",TRUE,2026-03-27T16:20:08.926Z
user_realism_eval_v2,Michael,62,29878d5c-1027-4eec-9dae-5a1ab524b00a,0,2,3,3,3,4,3,"Mechanical pacing, and over-dramatic intonation",,,,,,,TRUE,2026-03-27T16:22:44.381Z
user_realism_eval_v2,Michael,63,de780b45-0183-46ee-961b-9c75fe66dff6,0,3,4,3,3,4,4,,,,,,,,TRUE,2026-03-27T16:25:50.621Z
user_realism_eval_v2,Michael,68,e489e969-c553-40cb-9a65-aebaa8f5b15e,0,3,2,4,3,3,4,,"I did notice a short loop with a break every few seconds, which was distracting",,,,,,TRUE,2026-03-27T16:30:32.671Z
user_realism_eval_v2,Michael,70,1c658574-ce5d-4956-9a81-529d8918915e,0,3,2,3,4,3,1,,"Sounded like the user was at a social event, but then there was a loud office phone sound effect which didn't match",,,,"Weird scripting in this one. User spoke in short, choppy sentences, like they were texting rather than speaking",,TRUE,2026-03-27T16:34:27.465Z
user_realism_eval_v2,Michael,70,2f27ed1b-711b-4a0f-baa0-60f458a4bc11,0,3,3,3,3,4,1,,,,,,"Short, choppy sentences again. Even if the user is impatient, the drawling pace doesn't match the formatting",,TRUE,2026-03-27T16:39:13.637Z
user_realism_eval_v2,Michael,70,d7665742-f66c-427d-a8f7-9c67f9ff2b5f,0,3,1,3,4,3,2,,Same mismatch between the outdoor party or social event and loud office phone,,,,"Still sounds like a text or chatbot conversation, in terms of scripting",,TRUE,2026-03-27T16:46:41.119Z
user_realism_eval_v2,Michael,73,96c3af51-fd53-484d-9bec-61123dc3d007,0,3,3,3,3,2,2,,,,,"Interruptions seemed prevalent in this one, especially since user was supposed to be patient and flexible","User seemed frustrated and rushed, interrupting a lot",,TRUE,2026-03-27T16:55:24.895Z
user_realism_eval_v2,Michael,78,1dc7c5f4-efee-4a70-a726-213359eb4d1f,0,3,4,3,3,4,4,,,,,,,"This user's ""voice"" is above average, but I noticed in this call that the pacing still feels too consistent. For example, ""Hi, I need help with a few orders."" The agent's voice was more natural in this call",TRUE,2026-03-27T17:01:36.784Z
user_realism_eval_v2,Michael,80,1c00d93a-cde5-4639-a56a-1bf299814935,0,3,3,3,4,3,4,,,,,,,,TRUE,2026-03-27T17:03:24.765Z
user_realism_eval_v2,Michael,80,165a3323-2c46-4958-999d-60e0f2994c92,0,3,2,4,4,3,4,,"Background noise was a little loud, and the office phone sound effect didn't make sense",,,,,This was overall a great call,TRUE,2026-03-27T17:10:13.029Z
user_realism_eval_v2,Michael,86,9a0206e6-2204-4db8-bb7f-d1da8582eb16,0,3,4,3,4,4,3,,,,,,,"Great call. A couple unrealistic moments, like the gaps when user is saying something they're not sure about should have been longer. ",TRUE,2026-03-27T17:14:13.994Z
user_realism_eval_v2,Michael,90,57deef0e-d9df-4d72-b39b-2376141b83ef,0,2,2,3,4,3,4,"This user consistently uses too much inflection and intonation. Very good pacing and pausing, though","Lot of coughs and sneezes for a short call. This might be nitpicky, but it also doesn't match with user's vocal clarity and energy, and being in a large group of people",,,,,,TRUE,2026-03-27T17:22:53.368Z
user_realism_eval_v2,Michael,98,80602dff-34db-4749-b58b-3f614a9b018d,0,3,4,1,4,3,3,,,"User provided too much information at a time, and didn't wait long enough to ask for updates. Felt robotic",,,,,TRUE,2026-03-27T17:30:04.404Z
user_realism_eval_v2,Michael,98,fad19c24-63c2-4cff-b350-766ff4bf37ae,0,3,4,2,4,2,1,,,"Lot of interruptions and impatience, which caused a rush and tension that didn't need to be there",,"User interrupts agent prematurely, and tries to move on in the conversation before being verified.","Maybe not quite as bad as last call, but user provides too much information too quickly, and doesn't wait for agent as they would in a real conversation",,TRUE,2026-03-27T17:36:48.223Z
user_realism_eval_v2,Michael,110,a6a8f057-bf64-401a-93b1-3f38c9ecae99,0,3,4,4,3,4,3,,,,,,,"User felt like they were asking for too much at a time, which felt inauthentic",TRUE,2026-03-27T17:40:34.235Z
