batch,rater,task_id,simulation_id,trial,voice_prosody_quality,audio_environment_realism,turn_taking_naturalness,backchannel_naturalness,interruption_behavior,behavioral_plausibility,voice_prosody_quality_notes,audio_environment_realism_notes,turn_taking_naturalness_notes,backchannel_naturalness_notes,interruption_behavior_notes,behavioral_plausibility_notes,free_text_comments,completed,created_at
user_realism_eval_v2,Niko Pavkovic,36,c39b055f-34ce-410c-9d11-49c4ad189435,0,2,3,4,4,4,3,"Mechanical delivery - speed mostly. Sometimes very good, but most times not much variation and just sounds mechanical without fluctuations.",,,,,,"For an emergency, user sounds elevated but not to the level of stress from an emergency",TRUE,2026-03-26T20:00:55.974Z
user_realism_eval_v2,Niko Pavkovic,37,91e382db-bef8-4c18-b803-e3bf7122c337,0,3,3,3,4,3,4,,,,,,,,TRUE,2026-03-26T20:03:16.113Z
user_realism_eval_v2,Niko Pavkovic,39,23104eb2-5822-4719-8544-c69ec69e7200,0,3,3,3,4,3,3,,,,,,,,TRUE,2026-03-26T20:04:14.466Z
user_realism_eval_v2,Niko Pavkovic,43,7482c656-508b-4052-9cf4-9f5d9ca5c1c4,0,2,3,3,4,3,3,"Mechanical - slightly slow and rigid. ""Daughter"" and ""Also is it still in transit"", ""Tablet I ordered"" are good examples",,,,,,,TRUE,2026-03-26T20:11:19.712Z
user_realism_eval_v2,Niko Pavkovic,44,16fde45d-42f3-47b6-a64b-6a8f2c68aa2f,0,3,3,3,3,2,3,,,,,"Sometimes does well, other times just interrupts and keeps going. Offers information prematurely. Even agent has to tell user hold on",,,TRUE,2026-03-26T20:13:33.920Z
user_realism_eval_v2,Niko Pavkovic,44,83325c67-cff9-4306-bb99-dcfc7faddb77,0,3,3,4,4,3,4,,,,,,,"User generally good, but monotone without expression. Somewhat naturally though",TRUE,2026-03-26T20:14:46.152Z
user_realism_eval_v2,Niko Pavkovic,46,ca83c2ee-6185-4c9c-9f97-64edcaa36676,0,2,3,3,3,2,3,"Mechanical - Rigid ""Why not. I just want the insurance canceled""",,,,"premature in some spots. Fairly real, but several areas pre-mature and obviously not tied to any reaction towards the agent.",,,TRUE,2026-03-26T20:16:43.539Z
user_realism_eval_v2,Niko Pavkovic,47,281180ff-87f0-4f17-850f-4b17d4732c22,0,3,3,2,3,2,3,,,"prematurely offers info, does not wait for agent to finish",,Interrupts and offers information prematurely.,,,TRUE,2026-03-26T20:19:40.609Z
user_realism_eval_v2,Niko Pavkovic,48,45729ee1-5d3c-4781-9c37-d86bb1c85327,0,2,3,4,4,4,4,"mechanical - not always -  ""Yes, That's right. No order ID""",,,,,,,TRUE,2026-03-26T20:22:32.389Z
user_realism_eval_v2,Niko Pavkovic,52,362abfcd-7226-4b9a-be53-ad0064aa3295,0,2,3,4,4,4,4,"Cadence is off slightly. This user generally sounds monotone, but this dialogue still is off, especially in the beginning. Sometimes it's just a slow delivery. ""I want it done as soon as possible"" - Sometimes agent sounds more realistic just because pauses and drag are not there for agent",,,,,,,TRUE,2026-03-26T20:27:18.834Z
user_realism_eval_v2,Niko Pavkovic,62,29878d5c-1027-4eec-9dae-5a1ab524b00a,0,2,3,3,4,4,4,"Mechanical - ""I think I know"" ""Ok. Can you check my recent order?"" ""Cancel the bluetooth speaker than. Thought it was cheaper""",,,,,,,TRUE,2026-03-26T20:33:57.710Z
user_realism_eval_v2,Niko Pavkovic,63,de780b45-0183-46ee-961b-9c75fe66dff6,0,3,3,2,4,3,4,,,"Somewhat rude, dismissive. ",,,,,TRUE,2026-03-26T20:36:30.241Z
user_realism_eval_v2,Niko Pavkovic,68,e489e969-c553-40cb-9a65-aebaa8f5b15e,0,3,3,3,3,3,3,,,,,,,"Pretty good, but not too much variations in timbre or delivery / somewhat too clean or proper. ",TRUE,2026-03-26T20:41:49.357Z
user_realism_eval_v2,Niko Pavkovic,70,1c658574-ce5d-4956-9a81-529d8918915e,0,3,3,4,4,3,3,Slightly,,,,,,,TRUE,2026-03-26T20:43:16.228Z
user_realism_eval_v2,Niko Pavkovic,70,2f27ed1b-711b-4a0f-baa0-60f458a4bc11,0,3,3,3,4,3,4,,,,,,,,TRUE,2026-03-26T20:44:11.525Z
user_realism_eval_v2,Niko Pavkovic,70,d7665742-f66c-427d-a8f7-9c67f9ff2b5f,0,3,3,4,4,4,3,,,,,,,,TRUE,2026-03-26T20:46:44.448Z
user_realism_eval_v2,Niko Pavkovic,73,96c3af51-fd53-484d-9bec-61123dc3d007,0,3,3,2,4,4,4,,,There are moments the user rushes the agent or offers information pre-maturely which results in interruptions.,,,,User does very good job. Any mistakes are somewhat acceptable or vague,TRUE,2026-03-26T20:51:08.632Z
user_realism_eval_v2,Niko Pavkovic,78,1dc7c5f4-efee-4a70-a726-213359eb4d1f,0,3,3,4,4,4,4,,,,,,,,TRUE,2026-03-26T20:53:19.570Z
user_realism_eval_v2,Niko Pavkovic,80,1c00d93a-cde5-4639-a56a-1bf299814935,0,3,3,4,4,3,4,,,,,,,,TRUE,2026-03-26T20:54:24.601Z
user_realism_eval_v2,Niko Pavkovic,80,165a3323-2c46-4958-999d-60e0f2994c92,0,3,3,4,4,4,3,,,,,,,Agent changes mid conversation,TRUE,2026-03-26T20:56:17.381Z
user_realism_eval_v2,Niko Pavkovic,86,9a0206e6-2204-4db8-bb7f-d1da8582eb16,0,3,3,4,4,4,4,,,,,,,"Very good, but sometimes odd choice of words. ""I don't have it"" instead of ""I don't have one"" might be preference but slight",TRUE,2026-03-26T20:58:01.040Z
user_realism_eval_v2,Niko Pavkovic,90,57deef0e-d9df-4d72-b39b-2376141b83ef,0,2,3,3,4,3,3,Timbre - mechanical feeling - rigid,,,,,,Rigid in delivery but otherwise very well. User delivery feels very proper to reading script vs natural sloppier delivery.,TRUE,2026-03-26T20:59:58.831Z
user_realism_eval_v2,Niko Pavkovic,98,80602dff-34db-4749-b58b-3f614a9b018d,0,2,3,4,4,4,3,"Mechanical - Pace, lack of delay in pauses, seems to run along at times, especially in the begining. ",,,,,,"Very good in most aspects, but the delivery is mechanical
",TRUE,2026-03-26T21:11:59.509Z
user_realism_eval_v2,Niko Pavkovic,98,fad19c24-63c2-4cff-b350-766ff4bf37ae,0,3,3,4,4,4,4,,,,,,,"User sounds mechanical in beginning, eventually as frustration builds with the agent sounds very more natural.",TRUE,2026-03-26T21:14:39.904Z
user_realism_eval_v2,Niko Pavkovic,110,a6a8f057-bf64-401a-93b1-3f38c9ecae99,0,3,3,4,4,4,3,,,,,,,Slightly mechanical delivery speed.,TRUE,2026-03-26T21:16:26.144Z
